Company,Country,Sector,Industry,Total Pages,Auditor,Published
Orkla,Norway,Food & Beverage,Processed Foods,120,120,EY
Ørsted,Denmark,Infrastructure,Electric Utilities & Power Generators,100,100,PwC
Outokumpu,Finland,Extractives & Mineral Processing,Iron & Steel Producers,111,111,PwC
Palfinger,Austria,Resource Transformation,Industrial Machinery & Goods,109,109,PwC
Pandora,Denmark,Consumer Goods,"Apparel, Accessories & Footwear",54,54,EY
Pandox,Sweden,Infrastructure,Real Estate Services,55,55,PwC
Permanent TSB Group Holdings,Ireland,Financials,Commercial Banks,159,159,KPMG
PFA,Denmark,Financials,Insurance,98,98,EY
Philips,Netherlands,Infrastructure,Electric Utilities & Power Generators,84,84,EY
Piaggio & C,Italy,Transportation,Automobiles,150,150,Deloitte
Ponsse,Finland,Resource Transformation,Industrial Machinery & Goods,32,32,KPMG
PORR,Austria,Infrastructure,Engineering & Construction Services,135,135,EY
Porsche,Germany,Transportation,Automobiles,88,88,EY
Poste Italiane,Italy,Financials,Commercial Banks,192,192,Deloitte
Posten Bring (ex. Posten Norge),Norway,Transportation,Air Freight & Logistics,102,102,Deloitte
PostNL,Netherlands,Transportation,Air Freight & Logistics,128,128,KPMG
ProCredit Holding,Germany,Financials,Commercial Banks,146,146,BDO
Prosegur,Spain,Services,Professional & Commercial Services,208,208,EY
ProSiebenSat.1 Media,Germany,Services,Media & Entertainment,86,86,PwC
Prysmian,Italy,Resource Transformation,Electrical & Electronic Equipment,299,299,EY
Puma,Germany,Consumer Goods,"Apparel, Accessories & Footwear",143,143,KPMG
QT Group,Finland,Technology & Communications,Software & IT Services,45,45,KPMG
Rabobank,Netherlands,Financials,Commercial Banks,77,77,PwC
Raiffeisen Bank International,Austria,Financials,Commercial Banks,343,343,Deloitte
Randstad,Netherlands,Services,Professional & Commercial Services,59,59,Deloitte
Rapala VMC,Finland,Consumer Goods,Toys & Sporting Goods,25,25,Deloitte
Raute,Finland,Resource Transformation,Industrial Machinery & Goods,52,52,PwC
RECTICEL NV,Belgium,Extractives & Mineral Processing,Construction Materials,64,64,PwC
Redcare Pharmacy,Netherlands,Health Care,Drug Retailers,82,82,Forvis Mazars
RELX,United Kingdom,Services,Professional & Commercial Services,34,34,EY
REN - Redes Energeticas Nacionais SGPS,Portugal,Infrastructure,Electric Utilities & Power Generators,177,177,EY
Renault,France,Transportation,Automobiles,150,150,KPMG & Forvis Mazars
RENK Group,Germany,Resource Transformation,Industrial Machinery & Goods,70,70,PwC
Repsol,Spain,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,203,203,PwC
Rexel,France,Resource Transformation,Industrial Machinery & Goods,155,155,PwC & KPMG
Rheinmetall,Germany,Resource Transformation,Aerospace & Defence,60,60,Deloitte
RHI Magnesita,Netherlands,Extractives & Mineral Processing,Construction Materials,107,107,PwC
Ringkjøbing Landbobank,Denmark,Financials,Commercial Banks,98,98,PwC
Rockwool,Denmark,Consumer Goods,Building Products & Furnishings,79,79,PwC
Royal Ahold Delhaize,Netherlands,Food & Beverage,Food Retailers & Distributors,123,123,KPMG
Royal Schiphol,Netherlands,Transportation,Air Freight & Logistics,102,102,EY
Royal Unibrew,Denmark,Food & Beverage,Alcoholic Beverages,69,69,Deloitte
Rubis,France,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,182,182,PwC
RWE,Germany,Infrastructure,Electric Utilities & Power Generators,112,112,Deloitte
Saab,Sweden,Resource Transformation,Aerospace & Defence,79,79,PwC
Sacyr SA,Spain,Infrastructure,Engineering & Construction Services,265,265,PwC
SAFRAN,France,Resource Transformation,Aerospace & Defence,123,123,Forvis Mazars & EY
Saint-Gobain,France,Extractives & Mineral Processing,Construction Materials,129,129,Deloitte
SalMar,Norway,Food & Beverage,"Meat, Poultry & Dairy",246,246,EY
Salvatore Ferragamo,Italy,Consumer Goods,"Apparel, Accessories & Footwear",175,175,KPMG
Salzgitter,Germany,Extractives & Mineral Processing,Iron & Steel Producers,102,102,EY
Sampo,Finland,Financials,Insurance,78,78,Deloitte
Sanofi,France,Health Care,Biotechnology & Pharmaceuticals,161,161,PwC & Forvis Mazars
Sanoma,Finland,Services,Media & Entertainment,65,65,PwC
Santander Bank Polska,Poland,Financials,Commercial Banks,127,127,PwC
SAP,Germany,Technology & Communications,Software & IT Services,113,113,BDO
Sartorius,Germany,Health Care,Medical Equipment & Supplies,99,99,PwC
Sartorius Stedim Biotech,France,Health Care,Medical Equipment & Supplies,91,91,PwC
SBAB Bank,Sweden,Financials,Commercial Banks,96,96,Deloitte
SBM Offshore,Netherlands,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,83,83,Deloitte
Scandic Hotels Group,Sweden,Services,Hotels & Lodging,34,34,PwC
Scandinavian Tobacco Group,Denmark,Food & Beverage,Tobacco,48,48,PwC
Scanfil,Finland,Resource Transformation,Electrical & Electronic Equipment,95,95,EY
Schaeffler,Germany,Transportation,Auto Parts,75,75,KPMG
Schibsted,Norway,Services,Media & Entertainment,104,104,PwC
Schneider Electric,France,Resource Transformation,Electrical & Electronic Equipment,185,185,PwC & Forvis Mazars
Schoeller-Bleckmann Oilfield Equipment,Austria,Extractives & Mineral Processing,Oil & Gas – Services,203,203,KPMG
Schouw & Co,Denmark,Food & Beverage,Agricultural Products,73,73,PwC
SCOR,France,Financials,Insurance,106,106,KPMG & Forvis Mazars
Scout24,Germany,Technology & Communications,Internet Media & Services,54,54,PwC
SEB,Sweden,Financials,Commercial Banks,116,116,EY
Seche Environment,France,Infrastructure,Waste Management,96,96,Grant Thornton
Semperit,Austria,Resource Transformation,Industrial Machinery & Goods,133,133,EY
SGL Carbon,Germany,Resource Transformation,Chemicals,75,75,KPMG
Shell,United Kingdom,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,99,99,EY
SIF Holding,Netherlands,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,40,40,BDO
Signify,Netherlands,Resource Transformation,Electrical & Electronic Equipment,83,83,EY
Siili Solutions,Finland,Technology & Communications,Software & IT Services,22,22,KPMG
Silgro Food Group,Netherlands,Food & Beverage,Restaurants,81,81,EY
Sitowise,Finland,Infrastructure,Engineering & Construction Services,65,65,KPMG
Sixt,Germany,Transportation,Car Rental & Leasing,44,44,Forvis Mazars
SNCF,France,Transportation,Rail Transportation,207,207,PwC & EY
Societe BIC,France,Consumer Goods,Household & Personal Products,77,77,Grant Thornton
Société Générale,France,Financials,Commercial Banks,113,113,PwC & KPMG
Solar,Denmark,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,54,54,Deloitte
SOLVAY SA,Belgium,Resource Transformation,Chemicals,82,82,EY
Sonae,Portugal,Food & Beverage,Food Retailers & Distributors,186,186,PwC
Sopra Steria,France,Technology & Communications,Software & IT Services,143,143,ACA Nexia & Saint Front
Spar Nord Bank,Denmark,Financials,Commercial Banks,59,59,Deloitte
SpareBank 1 SR-Bank,Norway,Financials,Commercial Banks,128,128,PwC
SPIE,France,Infrastructure,Engineering & Construction Services,83,83,PwC
SSAB,Sweden,Extractives & Mineral Processing,Iron & Steel Producers,54,54,EY
Statkraft,Norway,Infrastructure,Electric Utilities & Power Generators,120,120,PwC
Stedin,Netherlands,Infrastructure,Electric Utilities & Power Generators,60,60,Deloitte
Stellantis,Netherlands,Transportation,Automobiles,105,105,Deloitte
STMicroelectronics,Netherlands,Technology & Communications,Semiconductors,140,140,EY
Stora Enso,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,58,58,PwC
Storebrand,Norway,Financials,Insurance,136,136,PwC
STRABAG,Austria,Infrastructure,Engineering & Construction Services,113,113,PwC
Subsea 7,Luxembourg,Extractives & Mineral Processing,Oil & Gas – Services,56,56,EY
Svenska Handelsbanken,Sweden,Financials,Commercial Banks,119,119,Deloitte
Swedbank,Sweden,Financials,Commercial Banks,153,153,PwC
Syensqo,Belgium,Resource Transformation,Chemicals,128,128,EY
Talanx,Germany,Financials,Insurance,104,104,PwC
Tatra banka,Slovakia,Financials,Commercial Banks,248,248,Deloitte
TDC Net,Denmark,Technology & Communications,Telecommunication Services,114,114,Deloitte
TeamViewer,Germany,Technology & Communications,Software & IT Services,52,52,PwC
Technip Energies,Netherlands,Infrastructure,Engineering & Construction Services,126,126,PwC
Tecnotree Corporation,Finland,Technology & Communications,Telecommunication Services,39,39,Tietotili Audit
Tele2,Sweden,Technology & Communications,Telecommunication Services,91,91,KPMG
Telefónica,Spain,Technology & Communications,Telecommunication Services,179,179,PwC
Telefónica Deutschland,Germany,Technology & Communications,Telecommunication Services,85,85,PwC
Telekom Austria (A1 Telekom Austria),Austria,Technology & Communications,Telecommunication Services,87,87,EY
Telenor,Norway,Technology & Communications,Telecommunication Services,83,83,EY
Teleperformance,France,Technology & Communications,Software & IT Services,111,111,PwC
Telia Company,Sweden,Technology & Communications,Telecommunication Services,99,99,KPMG
Telia Lithuania,Lithuania,Technology & Communications,Telecommunication Services,91,91,PwC
Tenaris,Luxembourg,Extractives & Mineral Processing,Iron & Steel Producers,113,113,PwC
TenneT Holding,Netherlands,Infrastructure,Electric Utilities & Power Generators,59,59,Deloitte
TESSENDERLO GROUP NV,Belgium,Resource Transformation,Chemicals,74,74,KPMG
TF1,France,Services,Media & Entertainment,103,103,EY
TGS NOPEC Geophysical Co,Norway,Extractives & Mineral Processing,Oil & Gas – Services,90,90,KPMG
Thales,France,Resource Transformation,Aerospace & Defence,93,93,PwC
The Navigator Company,Portugal,Renewable Resources & Alternative Energy,Pulp & Paper Products,179,179,KPMG
Thermador Groupe,France,Consumer Goods,Multiline and Specialty Retailers & Distributors,83,83,KPMG
Tietoevry,Finland,Technology & Communications,Software & IT Services,78,78,Deloitte
TKH,Netherlands,Technology & Communications,Software & IT Services,74,74,EY
TKM Grupp,Estonia,Food & Beverage,Food Retailers & Distributors,57,57,PwC
TOMRA Systems,Norway,Resource Transformation,Industrial Machinery & Goods,70,70,PwC
TomTom,Netherlands,Technology & Communications,Internet Media & Services,38,38,PwC
TORM,United Kingdom,Extractives & Mineral Processing,Oil & Gas – Midstream,113,113,EY
TotalEnergies,France,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,145,145,EY
Trifork,Switzerland,Technology & Communications,Internet Media & Services,60,60,EY
Triodos Bank,Netherlands,Financials,Commercial Banks,160,160,PwC
Tryg,Denmark,Financials,Insurance,78,78,PwC
UCB,Belgium,Health Care,Biotechnology & Pharmaceuticals,81,81,Forvis Mazars
Umicore,Belgium,Resource Transformation,Chemicals,59,59,EY
Unibail-Rodamco-Westfield (URW),France,Infrastructure,Real Estate,146,146,KPMG & Deloitte
Unibel,France,Food & Beverage,"Meat, Poultry & Dairy",167,167,PwC & Grant Thornton
Unicaja Banco,Spain,Financials,Commercial Banks,355,355,KPMG
UniCredit,Italy,Financials,Commercial Banks,185,185,KPMG
Unifieldpost Group,Belgium,Technology & Communications,Software & IT Services,96,96,BDO
Unilever,United Kingdom,Consumer Goods,Household & Personal Products,76,76,KPMG
Uniper,Germany,Infrastructure,Electric Utilities & Power Generators,158,158,PwC
Universal Music Group,Netherlands,Services,Media & Entertainment,49,49,EY
UPM,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,60,60,EY
Vaisala,Finland,Resource Transformation,Electrical & Electronic Equipment,46,46,PwC
Valamar Riviera,Croatia,Services,Hotels & Lodging,58,58,EY
Valeo,France,Transportation,Auto Parts,161,161,KPMG & Forvis Mazars
Vallourec,France,Extractives & Mineral Processing,Iron & Steel Producers,129,129,EY
Van Lanschot,Netherlands,Financials,Asset Management & Custody Activities,73,73,PwC
Vandemoortele,Belgium,Food & Beverage,Processed Foods,122,122,Deloitte
Var Energi,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,128,128,PwC
Vattenfall,Sweden,Infrastructure,Electric Utilities & Power Generators,78,78,PwC
Veidekke,Norway,Infrastructure,Engineering & Construction Services,124,124,EY
Veolia,France,Infrastructure,Water Utilities & Services,145,145,KPMG & EY
Verbund,Austria,Infrastructure,Electric Utilities & Power Generators,191,191,EY
Vestas,Denmark,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,81,81,Deloitte
Vienna Insurance Group,Austria,Financials,Insurance,98,98,KPMG
Viking Line,Finland,Transportation,Marine Transportation,51,51,PwC
VINCI,France,Infrastructure,Engineering & Construction Services,90,90,PwC
Virdien,France,Technology & Communications,Software & IT Services,81,81,EY
Vivendi,France,Services,Media & Entertainment,91,91,Deloitte & Grant Thornton
Volkswagen,Germany,Transportation,Automobiles,239,239,EY
Vonovia,Germany,Infrastructure,Real Estate,107,107,PwC
VP Bank,Liechtenstein,Financials,Asset Management & Custody Activities,105,105,PwC
VR Yhthyma,Finland,Transportation,Rail Transportation,83,83,KPMG
Vseobecna Uverova Banka (VUB),Slovakia,Financials,Commercial Banks,183,183,EY
WACKER Chemie,Germany,Resource Transformation,Chemicals,107,107,PwC
Wallenius Wilhelmsen,Norway,Transportation,Marine Transportation,94,94,EY
Warehouse de Pauw,Belgium,Infrastructure,Real Estate,62,62,Deloitte
Wärtsilä,Finland,Consumer Goods,Appliance Manufacturing,45,45,PwC
Westwing Group SE,Germany,Consumer Goods,E-commerce,117,117,PwC
Wienerberger,Austria,Extractives & Mineral Processing,Construction Materials,109,109,Deloitte
Wirtualna Polska Holding,Poland,Technology & Communications,Internet Media & Services,86,86,PwC
WithSecure,Finland,Technology & Communications,Software & IT Services,75,75,PwC
Wolters Kluwer,Netherlands,Services,Professional & Commercial Services,63,63,Deloitte
Worldline,France,Technology & Communications,Software & IT Services,125,125,Deloitte
XXL,Norway,Consumer Goods,Toys & Sporting Goods,87,87,PwC
Yara International,Norway,Resource Transformation,Chemicals,142,142,Deloitte
Zabka,Luxembourg,Food & Beverage,Food Retailers & Distributors,67,67,EY
Zagrebacka Banka DD,Croatia,Financials,Commercial Banks,163,163,KPMG
Zalando,Germany,Consumer Goods,E-Commerce,130,130,KPMG
