Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
"Stakeholder Engagement, Corporate Social Responsibility and Integrated Reporting: An Exploratory Study","Laura Sierra‐García, A. Zorio-Grima, M. García-Benau",10.1002/CSR.1345,https://doi.org/10.1002/CSR.1345,-,237,2015,Companies that assure their CSR reports are more likely to also produce integrated reporting.
The association between corporate social responsibility reporting and firm value for South African firms,"R. Horn, Marna De Klerk, C. de Villiers",10.4102/SAJEMS.V21I1.2236,https://doi.org/10.4102/SAJEMS.V21I1.2236,South African Journal of Economic and Management Sciences,26,2018,"CSR reporting, including disclosure and assurance, is not significantly associated with firm value for South African companies."
Which Corporate Governance Mechanisms Drive CSR Disclosure Practices in Emerging Countries?,"María del Mar Miras-Rodríguez, Domingo Martínez-Martínez, B. Escobar-Pérez",10.3390/SU11010061,https://doi.org/10.3390/SU11010061,Sustainability,53,2018,"Corporate governance mechanisms, at both institutional and group levels, influence CSR reporting practices in emerging countries."
Measurement of corporate social responsibility,M. Hopkins,10.1504/IJMDM.2005.006549,https://doi.org/10.1504/IJMDM.2005.006549,-,170,2005,The paper discusses the measurement of corporate social responsibility (CSR) and the challenges in developing a systematic framework for it.
Corporate social responsibility and the UK construction industry,"P. Jones, D. Comfort, D. Hillier",10.1108/14630010610711757,https://doi.org/10.1108/14630010610711757,-,144,2006,The paper explores the corporate social responsibility (CSR) issues being addressed and reported by some of the UK's leading construction companies.
Corporate social performance reporting in Bangladesh,Shahed Imam,10.1108/02686900010319384,https://doi.org/10.1108/02686900010319384,-,260,2000,"CSR reporting in Bangladesh is inadequate, with most listed companies providing little to no information on their social responsibilities."
Assessing quality assessment of corporate social reporting: UK perspectives,"Kim Hammond, Samantha Miles",10.1016/j.accfor.2004.04.005,https://doi.org/10.1016/j.accfor.2004.04.005,-,124,2004,"Corporations and quality assessors have different definitions of quality in corporate social responsibility (CSR) reporting, and formal monitoring processes and award schemes are important drivers of CSR."
The Danish CSR Reporting Requirement as Reflexive Law: Employing CSR as a Modality to Promote Public Policy Objectives through Law,K. Buhmann,10.54648/eulr2013010,https://doi.org/10.54648/eulr2013010,European Business Law Review,6,2013,"The Danish CSR reporting requirement uses company self-regulation to promote public policy objectives related to human rights, labor, environment, climate, and anti-corruption."
Corporate social responsibility and classification shifting,"Juhee Hwang, Sera Choi, Sunhwa Choi, Yong Gyu Lee",10.1016/j.jaccpubpol.2021.106918,https://doi.org/10.1016/j.jaccpubpol.2021.106918,Journal of Accounting and Public Policy,13,2021,Firms with good CSR performance are less likely to engage in classification shifting to inflate core earnings.
Corporate social responsibility: a comparison between the United States and the European Union,Daniel Tschopp,10.1002/CSR.69,https://doi.org/10.1002/CSR.69,-,153,2005,"The paper compares CSR reporting practices between the US and EU, noting the EU is more progressive on the issue."
"Authoritarian state, global expansion and corporate social responsibility reporting: The narrative of a Chinese state-owned enterprise","Teng Li, A. Belal",10.1016/j.accfor.2018.05.002,https://doi.org/10.1016/j.accfor.2018.05.002,Accounting forum,45,2018,The paper examines the drivers behind the initiation of CSR reporting by a Chinese state-owned enterprise.
Corporate Social Reporting in India—A View from the Top,S. Raghu Raman,10.1177/097215090600700208,https://doi.org/10.1177/097215090600700208,-,143,2006,This study explores how top management in India's top companies perceives and reports on corporate social responsibility.
Is CSR reporting always favorable?,"Bilal Al-Dah, Mustafa A. Dah, Mohammad I. Jizi",10.1108/MD-05-2017-0540,https://doi.org/10.1108/MD-05-2017-0540,Management Decision,36,2018,"The effect of CSR reporting on firm performance depends on the macroeconomic environment, with negative impacts during economic crises."
The Practitioner's Perspective on Non-Financial Reporting,F. Perrini,10.2307/41166339,https://doi.org/10.2307/41166339,-,152,2006,"Companies differ in their approach to CSR reporting, focusing on themes like worker safety, product quality, environmental protection, and stakeholder dialogue."
A case study of Hilton Environmental Reporting as a tool of corporate social responsibility.,P. Bohdanowicz,10.3727/154427207783948937,https://doi.org/10.3727/154427207783948937,-,72,2007,This paper examines environmental reporting as a tool of corporate social responsibility in the hotel industry.
Does CSR Reporting Really Impact FERCs,"R. Birkey, Ronald P. Guidry, Dennis M. Patten",10.2308/APIN-51921,https://doi.org/10.2308/APIN-51921,-,11,2017,"CSR reporting does not significantly impact future earnings response coefficients (FERCs) as argued, contrary to prior research."
FINANCIAL REPORTS QUALITY AND CORPORATE SOCIAL RESPONSIBILITY,"Li-Jen He, H. Chiang, Cang-Fu Shiao",10.18488/JOURNAL.AEFR/2015.5.3/102.3.453.467,https://doi.org/10.18488/JOURNAL.AEFR/2015.5.3/102.3.453.467,-,15,2015,"CSR reporting is associated with higher quality financial reporting, as it reduces earnings management."
CSR reporting on apparel companies’ websites: framing good deeds and clarifying missteps,"Jamie N. Gaskill-Fox, Karen H. Hyllegard, Jennifer Paff Ogle",10.1186/s40691-014-0011-8,https://doi.org/10.1186/s40691-014-0011-8,Fashion and Textiles,14,2014,The paper examines how apparel companies frame their corporate social responsibility (CSR) reporting on their websites.
An exploratory analysis of stakeholders’ expectations and perceptions of corporate social and environmental reporting in South Africa,"C. Mitchell, T. Hill",10.1080/10291954.2010.11435147,https://doi.org/10.1080/10291954.2010.11435147,-,18,2010,"South African stakeholders believe corporate social and environmental reporting is inadequate and should be improved, audited, and integrated with annual financial reporting."
Exploring corporate social responsibility disclosure: the case of Islamic banks,"Abul Hassan, S. Harahap",10.1108/17538391011072417,https://doi.org/10.1108/17538391011072417,-,290,2010,"CSR disclosure in Islamic banks is not a major concern, and there is a discrepancy between their CSR activities and CSR disclosure."
Decoding CSR reporting on poverty alleviation in China: a symbolic power perspective,"Lina Xu, Hui Situ, Joe Chao Ren, Yunxiao Yang",10.1108/medar-07-2024-2569,https://doi.org/10.1108/medar-07-2024-2569,Meditari Accountancy Research,0,2025,"CSR reporting in China facilitates alignment between private enterprises and state goals, reinforcing symbolic power."
Analyzing Sector‐Specific CSR Reporting: Social and Environmental Disclosure to Investors in the Chemicals and Banking and Insurance Industry,"I. Lock, Peter Seele",10.1002/CSR.1338,https://doi.org/10.1002/CSR.1338,-,117,2015,"CSR reporting practices differ between the chemicals and banking/insurance industries, with the former meeting investor-specific reporting benchmarks better than the latter."
Developing sustainable reporting standards,"G. Aras, D. Crowther",10.1108/09675420810886097,https://doi.org/10.1108/09675420810886097,-,37,2008,"Financial reporting standards are vehicles of colonial exploitation, while CSR reporting standards are developed voluntarily."
Do voluntary corporate activities lead to reporting regulation? evidence from corporate social responsibility,"George Deltas, Hui Wen",10.1080/00036846.2022.2070594,https://doi.org/10.1080/00036846.2022.2070594,Applied Economics,2,2022,"Voluntary corporate social responsibility (CSR) reporting leads to the introduction of CSR reporting standards, which act as ex-post certification rather than ex-ante incentive."
CSR reporting among Zimbabwe's hotel groups: a content analysis,D. K. Nyahunzvi,10.1108/09596111311322943,https://doi.org/10.1108/09596111311322943,-,119,2013,Zimbabwe's hotel groups focus more on financial performance than social and environmental themes in their CSR reporting.
Corporate Social Responsibility (CSR) Disclosure of Advertising Agencies: An Exploratory Analysis of Six Holding Companies' Annual Reports,"David S. Waller, Roman Lanis",10.2753/JOA0091-3367380107,https://doi.org/10.2753/JOA0091-3367380107,-,102,2009,Advertising agencies engage in and disclose varying levels of corporate social responsibility (CSR) activities in their annual reports.
"CSR reporting, assurance, and firm value and risk: The moderating effects of CSR committees and executive compensation","Hany Elbardan, Ali Uyar, C. Kuzey, Abdullah S. Karaman",10.1016/j.intaccaudtax.2023.100579,https://doi.org/10.1016/j.intaccaudtax.2023.100579,"Journal of International Accounting, Auditing and Taxation",34,2023,"CSR reporting and assurance are positively associated with firm value and negatively associated with firm risk, with CSR committees strengthening the value-generating effects."
Socially Responsible Investment and Corporate Social and Environmental Reporting in the UK: An Exploratory Study,"A. Friedman, Samantha Miles",10.1006/BARE.2001.0172,https://doi.org/10.1006/BARE.2001.0172,-,293,2001,CSR reporting is expected to improve in quality and quantity due to the growth of socially responsible investment and increased corporate focus on reputational risk.
The impact of labor unionization on CSR reporting,"A. Chantziaras, Emmanouil Dedoulis, Vassiliki Grougiou, Stergios Leventis",10.1108/SAMPJ-06-2020-0212,https://doi.org/10.1108/SAMPJ-06-2020-0212,-,13,2020,Managers in unionized firms are more likely to issue CSR reports to align interests and develop collaborative bonds with unions.
The Impact of Better Corporate Social Responsibility Disclosure on the Cost of Equity Capital,Carmelo Reverte,10.1002/CSR.273,https://doi.org/10.1002/CSR.273,-,267,2012,Better corporate social responsibility (CSR) disclosure reduces a firm's cost of equity capital.
CSR management and reporting between voluntary bonding and legal regulation,"Martin Stawinoga, Patrick Velte",-,-,-,9,2015,"CSR reporting is gaining relevance, with the German Sustainability Code providing a framework, though companies apply it differently."
CSR Communication Strategies of Colombian Business Groups: An Analysis of Corporate Reports,"J. Correa-García, M. García-Benau, Emma García‐Meca",10.3390/SU10051602,https://doi.org/10.3390/SU10051602,-,34,2018,The paper analyzes CSR communication strategies in corporate reports of Colombian business groups.
The Effect of Corporate Governance Elements on Corporate Social Responsibility (CSR) Disclosure: An Empirical Evidence from Listed Companies at KSE Pakistan,"Sadia Majeed, T. Aziz, Saba Saleem",10.3390/IJFS3040530,https://doi.org/10.3390/IJFS3040530,-,190,2015,"Corporate governance elements like board size, institutional ownership, and firm size positively impact CSR reporting."
The Formation of Reputation in CSR Disclosure: The Role of Signal Transmission and Sensemaking Processes of Stakeholders,"Ruiqian Xu, Jinchen Liu, Dongning Yang",10.3390/su15129418,https://doi.org/10.3390/su15129418,Sustainability,4,2023,"CSR reporting can build corporate reputation through signaling authenticity and CSP, which influences stakeholder trust."
Scoring CSR Reporting in Listed Companies – Evidence from Italian Best Practices,"A. Romolini, S. Fissi, E. Gori",10.1002/CSR.1299,https://doi.org/10.1002/CSR.1299,-,96,2014,"The paper examines the state of CSR reporting practices by Italian listed companies, finding an overall good level of disclosure but raising concerns about transparency and the potential need for more mandatory rules."
The Influence of Governance Structure and Strategic Corporate Social Responsibility Toward Sustainability Reporting Quality,"A. Amran, Shiau Ping Lee, S. Devi",10.1002/BSE.1767,https://doi.org/10.1002/BSE.1767,-,595,2014,CSR reporting quality in the Asia-Pacific region can be improved by institutionalizing CSR in the organization's vision/mission and through strategic alliances with NGOs.
Combining faith and CSR: a paradigm of corporate sustainability,Loi Teck Hui,10.1108/03068290810873429,https://doi.org/10.1108/03068290810873429,-,59,2008,The paper proposes a faith-based approach to corporate social responsibility (CSR) that can redefine and refine existing CSR conceptions.
"Corporate social responsibility, country-level predispositions, and the consequences of choosing a level of disclosure","C. de Villiers, Ana Marques",10.1080/00014788.2015.1039476,https://doi.org/10.1080/00014788.2015.1039476,-,295,2016,"Firms in countries with better investor protection, democracy, and regulations disclose more CSR information, which is associated with higher share prices."
Pictures at an exhibition revisited: reflections on a typology of images used in the construction of corporate social responsibility and sustainability in non‐financial corporate reporting,"Tim Breitbarth, Phil Harris, A. Insch",10.1002/PA.344,https://doi.org/10.1002/PA.344,-,49,2010,"CSR reporting involves the use of visual communication, in addition to words and numbers, to create meaning about a company's social and environmental performance."
Determinants of CSRD in non-Asian and Asian countries: a literature review,"Y. Abdullah, Nurwati A. Ahmad-Zaluki, N. Rahim",10.1108/jgr-08-2020-0076,https://doi.org/10.1108/jgr-08-2020-0076,-,17,2020,This review examines the determinants of corporate social responsibility disclosure (CSRD) in both non-Asian and Asian countries.
Application of Global Reporting Initiative (GRI) Principles for Measuring Quality of Corporate Social Responsibility (CSR) Disclosure: Evidence from Pakistan,"Hina Ismail, M. A. Saleem, Sadaf Zahra, Muhammad Tufail, Rao Akmal Ali",10.3390/su132011409,https://doi.org/10.3390/su132011409,Sustainability,22,2021,This study assesses the quality of corporate social responsibility (CSR) disclosures in Pakistan using the Global Reporting Initiative (GRI) principles.
Auditing for the environment,"Michael Watson, J. Mackay",10.1108/02686900310495115,https://doi.org/10.1108/02686900310495115,-,44,2003,"CSR reporting lacks an agreed international reporting system, leading to potential ""greenwashing"" by corporations."
The expansion of non-financial reporting: an exploratory study,"Hervé Stolowy, Luc Paugam",10.1080/00014788.2018.1470141,https://doi.org/10.1080/00014788.2018.1470141,Accounting and Business Research,242,2018,"The paper explores the expansion of non-financial reporting, including corporate social responsibility (CSR) reporting, and the factors that influence CSR reporting practices."
When Does Corporate Social Responsibility Disclosure Affect Investment Efficiency? A New Answer to an Old Question,"R. Anwar, J. A. Malik",10.1177/2158244020931121,https://doi.org/10.1177/2158244020931121,SAGE Open,57,2020,"High-quality CSR disclosure increases a firm's investment efficiency, while low-quality disclosure does not."
Corporate social responsibility reporting in China: the case of 106 central enterprises,"Yingxi Guo, Ting-Tsen Yeh, David C. Yang, Xiao-Yan Li",10.1108/jgr-10-2022-0106,https://doi.org/10.1108/jgr-10-2022-0106,Journal of Global Responsibility,3,2023,"CSR reporting in China has grown, but lacks unified standards, reducing comparability and effectiveness."
The effects of mandatory corporate social responsibility policy on accounting conservatism,"Chia-Ling Cheng, Fan‐Hua Kung",10.1108/RAF-12-2014-0135,https://doi.org/10.1108/RAF-12-2014-0135,-,53,2016,"Mandatory CSR policy can induce more conservative financial reporting, especially in non-state-owned enterprises."
A Study of the Relationship between Corporate Social Responsibility Report and the Stock Market,"An-An Chiu, Ling-Na Chen, Jiun-Chen Hu",10.3390/su12219200,https://doi.org/10.3390/su12219200,Sustainability,16,2020,Companies that disclose CSR reports generate higher and more positive mid- to long-term abnormal stock returns compared to companies that do not disclose CSR reports.
Corporate social responsibility reporting: A comprehensive picture?,"Lies Bouten, P. Everaert, Luc van Liedekerke, Lieven De Moor, J. Christiaens",10.1016/j.accfor.2011.06.007,https://doi.org/10.1016/j.accfor.2011.06.007,-,311,2011,"CSR reporting often lacks comprehensiveness, as it fails to provide complete information on vision, management approach, and performance indicators."
Finding the Link between CSR Reporting and Corporate Finan-cial Performance: Evidence on Czech and Estonian Listed Com-panies,"Jiří Strouhal, Natalja Gurvitš, Monika Nikitina-Kalamäe, E. Startseva",10.18267/J.CEBR.132,https://doi.org/10.18267/J.CEBR.132,-,33,2015,CSR reporting does not have a direct linkage with the financial performance of companies in the Czech and Estonian markets.
Does corporate social responsibility disclosure improve firm investment efficiency?: Evidence from China,"Ma Zhong, L. Gao",10.1108/RAF-06-2016-0095,https://doi.org/10.1108/RAF-06-2016-0095,-,66,2017,"CSR reporting improves firm investment efficiency, especially for firms with lower financial reporting quality."
Does Mandatory Disclosure of CSR Reports Affect Accounting Conservatism? Evidence from China,"Yu Pan, Rui Zhao",10.1080/1540496X.2021.1949283,https://doi.org/10.1080/1540496X.2021.1949283,Emerging markets finance & trade,10,2021,"Mandatory CSR reporting decreases accounting conservatism, especially for firms with weaker governance and greater information asymmetry."
"Developing an understanding of the determinants, disclosures, and outcomes of CSR practices – a focus on developed and developing countries: a past review of 10 years","Tanzeela Aqif, A. Wahab",10.1108/jgr-03-2021-0032,https://doi.org/10.1108/jgr-03-2021-0032,Journal of Global Responsibility,1,2021,"This review examines the determinants, disclosures, and outcomes of CSR practices in developed and developing countries."
The role of firm-level CSR governance characteristics as a driver of comprehensive CSR reporting – the moderating role of profitability,"Waris Ali, Jeffrey Wilson, Amr ElAlfy, Hina Ismail",10.1108/jaar-12-2022-0343,https://doi.org/10.1108/jaar-12-2022-0343,Journal of Applied Accounting Research,2,2023,"Firm-level CSR governance characteristics contribute to the extent, quality and comprehensiveness of CSR reporting."
The impact of religiosity and corruption on CSR reporting: The case of U.S. banks,"A. Chantziaras, Emmanouil Dedoulis, Vassiliki Grougiou, Stergios Leventis",10.1016/j.jbusres.2019.12.025,https://doi.org/10.1016/j.jbusres.2019.12.025,Journal of business research,76,2020,"Religiosity positively impacts CSR reporting by U.S. banks, but corruption weakens this relationship."
Corporate Social Responsibility: Readings and Cases in a Global Context,M. Bonacchi,10.1080/09638180903162247,https://doi.org/10.1080/09638180903162247,-,6,2009,"This book provides a comprehensive view on Corporate Social Responsibility (CSR), including its meaning, origins, and relationship to stakeholder theory."
"Regulatory pressure, blockholders and corporate social responsibility (CSR) disclosures in China","Lin Zheng, Nauzer Balsara, Haiyu Huang",10.1108/SRJ-08-2012-0102,https://doi.org/10.1108/SRJ-08-2012-0102,-,50,2014,"Regulatory pressure increases CSR reporting, but concentrated block ownership decreases CSR reporting quality in China."
Paradox and legitimacy in construction: how CSR reports restrict CSR practice,"G. Watts, Scott Fernie, A. Dainty",10.1108/IJBPA-05-2018-0037,https://doi.org/10.1108/IJBPA-05-2018-0037,International Journal of Building Pathology and Adaptation,16,2019,CSR reporting can restrict the actual practice of CSR due to the paradox of using it as a rhetorical device to achieve legitimacy.
"The Generic Structure of CSR Reports in Italian, Chinese, and English: A Corpus-Based Analysis","Danni Yu, M. Bondi",10.1109/TPC.2017.2702040,https://doi.org/10.1109/TPC.2017.2702040,IEEE Transactions on Professional Communication,31,2017,"CSR reports have a generic structure with similarities across Italian, Chinese, and English, suggesting it is a globally established genre."
ASIAN CSR PROFILES AND NATIONAL INDICATORS: INVESTIGATION THROUGH WEBCONTENT ANALYSIS,"Glen Kurokawaand, D. Macer, U. Bangkok",-,-,-,13,2008,This paper investigates the relationship between national indicators and the level of CSR reporting by large companies in eight Asian countries.
Corporate social responsibility in global health: an exploratory study of multinational pharmaceutical firms,"Hayley Droppert, S. Bennett",10.1186/s12992-015-0100-5,https://doi.org/10.1186/s12992-015-0100-5,Globalization and Health,101,2015,"Multinational pharmaceutical firms engage in various CSR activities in developing countries, motivated by reputational, economic, and public health benefits."
The Influence of Corporate Governance and Corporate Foundations on Corporate Social Responsibility (CSR) Reporting Practices,"D. Ramdhony, Afzalur Rashid, J. Gow, T. Soobaroyen",10.1080/15228916.2021.1952521,https://doi.org/10.1080/15228916.2021.1952521,Journal of African Business,9,2021,Corporate governance and corporate foundations influence the extent of CSR reporting by companies.
Board independence and the efficacy of social reporting,"Mustafa A. Dah, Mohammad I. Jizi",10.2308/JIAR-51952,https://doi.org/10.2308/JIAR-51952,-,44,2018,Higher board independence increases corporate social responsibility (CSR) reporting and enhances the efficacy of CSR reporting.
CSR matters in the development of Mauritius,Roshni Deepa Gokulsing,10.1108/17471111111141503,https://doi.org/10.1108/17471111111141503,-,33,2011,CSR initiatives in Mauritius are not yet fully embedded in corporate culture and need coordinated efforts to achieve sustainable development.
Do Customers Value CSR Disclosure? Evidence from Italian Family and Non-Family Firms,"G. Gavana, P. Gottardo, A. M. Moisello",10.3390/SU10051642,https://doi.org/10.3390/SU10051642,-,36,2018,CSR reporting has a positive effect on revenues for family firms but a negative effect for non-family firms.
CSR reporting in the United States and Russia,Veronika Bashtovaya,10.1108/SRJ-11-2012-0150,https://doi.org/10.1108/SRJ-11-2012-0150,-,32,2014,The paper compares CSR reporting practices between major energy companies in the USA and Russia.
Who Are the Intended Users of CSR Reports? Insights from a Data-Driven Approach,"Charlotte H Lindgren, Asif M. Huq, K. Carling",10.3390/SU13031070,https://doi.org/10.3390/SU13031070,Sustainability,17,2021,"CSR reports are primarily targeted at shareholders rather than stakeholders, despite the stakeholder approach being more dominant."
The Impact of Supervisory Board Composition on CSR Reporting. Evidence from the German Two-Tier System,"D. Dienes, Patrick Velte",10.3390/SU8010063,https://doi.org/10.3390/SU8010063,-,164,2016,"Supervisory board composition, particularly gender diversity, impacts the intensity of CSR reporting in the German two-tier corporate governance system."
Corporate social responsibility and financial analysts: a review of the literature,"Anne-Kathrin Hinze, Franziska Sump",10.1108/SAMPJ-05-2017-0043,https://doi.org/10.1108/SAMPJ-05-2017-0043,"Sustainability Accounting, Management and Policy Journal",72,2019,"CSR engagement is positively associated with analyst coverage, forecast accuracy, and recommendations, though analysts' perceptions of CSR are mixed."
Corporate social responsibility performance communication and portfolio management,"Rashid Ameer, Radiah Othman",10.1108/MF-06-2016-0164,https://doi.org/10.1108/MF-06-2016-0164,-,9,2017,"CSR performance communication positively impacts stock performance and market valuation, with more value placed on social than environmental issues."
Determinants of voluntary CSR reporting reliability – evidence from Canada,"Anne‐Marie Gosselin, Sylvie Berthelot",10.1108/jgr-03-2022-0031,https://doi.org/10.1108/jgr-03-2022-0031,Journal of Global Responsibility,1,2022,"Voluntary CSR reporting by corporations lacks reliability, and factors like image, corporate governance, and financialization partially explain the quality of the information disclosed."
CSR or social impression management? Tone management in CSR reports,"Sourour Hamza, Anis Jarboui",10.1108/JFRA-04-2020-0115,https://doi.org/10.1108/JFRA-04-2020-0115,Journal of Financial Reporting & Accounting,26,2021,"CSR reporting may be used for social impression management through tone management, rather than for substantive social responsibility."
"The explanatory effect of CSR committee and assurance services on the adoption of the IFC performance standards, as a means of enhancing corporate transparency","Isabel‐María García‐Sánchez, M. Gómez-Miranda, F. David, Lázaro Rodríguez‐Ariza",10.1108/sampj-09-2018-0261,https://doi.org/10.1108/sampj-09-2018-0261,"Sustainability Accounting, Management and Policy Journal",69,2019,CSR committees and assurance services promote the adoption of GRI-IFC reporting standards to enhance corporate transparency.
"Corporate Social Responsibility : Discourse, Narratives and Communication","P. Dobers, D. Springett",10.1002/CSR.231,https://doi.org/10.1002/CSR.231,-,77,2010,The paper examines the problematic and contestable nature of discourses on corporate social responsibility (CSR).
Reading between the lines: not all CSR is good CSR,"David K. Ding, Christo Ferreira, Udomsak Wongchoti",10.1108/PAR-07-2017-0048,https://doi.org/10.1108/PAR-07-2017-0048,Pacific Accounting Review,7,2018,"CSR reporting in annual financial reports is associated with a firm's financial performance, with a focus on key stakeholders being linked to superior performance."
The intellectual contours of corporate social responsibility literature,"S. Bhattacharyya, Surabhi Verma",10.1108/ijssp-12-2019-0263,https://doi.org/10.1108/ijssp-12-2019-0263,-,25,2020,This paper provides a comprehensive review of the intellectual structure and research themes in the field of corporate social responsibility (CSR).
CSR disclosure in developing and developed countries: a comparative study,"A. Bhatia, Binny Makkar",10.1108/jgr-04-2019-0043,https://doi.org/10.1108/jgr-04-2019-0043,Journal of Global Responsibility,79,2019,"Developed countries have higher CSR disclosure scores than developing countries, but developing countries should focus on the essence of CSR for balanced development."
"Profitability, state ownership, tax reporting and corporate social responsibility: evidence from Chinese listed firms","Bixia Xu, T. Zeng",10.1108/SRJ-06-2014-0076,https://doi.org/10.1108/SRJ-06-2014-0076,-,64,2016,"The paper examines the relationships between corporate social responsibility (CSR) reporting and profitability, state ownership, and tax reporting behavior in Chinese listed firms."
Driving corporate social responsibility (CSR) through the companies act: an overview of the role of the social and ethics committee,H. Kloppers,10.17159/1727-3781/2013/V16I1A2307,https://doi.org/10.17159/1727-3781/2013/V16I1A2307,-,27,2013,The paper discusses how the social and ethics committee mandated by the Companies Act in South Africa can drive corporate social responsibility (CSR) reporting.
Book Reviews,Susan M. Lindee,10.1080/09669580408667243,https://doi.org/10.1080/09669580408667243,-,0,2004,"This paper reviews a report on Corporate Social Responsibility (CSR) in the tourism industry, highlighting its importance for sustainable tourism practices."
Does Mandatory CSR Reporting Help Combat Climate Risk in the Presence of Green Finance and Green Innovation?,"Ashfaq Habib, Muhammad Asif Khan, Erdenebayar Chuluunbaata, Judit Oláh",10.24818/ea/2025/68/163,https://doi.org/10.24818/ea/2025/68/163,Amfiteatru Economic,0,2025,"Mandatory CSR reporting helps combat climate risk through sustainable investment practices, green finance, and green innovation."
Credit reporting agency stakeholder and CSR reporting linkages,"Edward T. Vieira Jr., Susan Grantham, Susan D. Sampson",10.1504/ijbge.2024.135076,https://doi.org/10.1504/ijbge.2024.135076,International Journal of Business Governance and Ethics,0,2024,CSR reporting by credit reporting agencies aims to maintain credibility with their key stakeholders who are both customers and the product.
Quality choices in corporate social responsibility reporting under heterogeneous investor preferences,Akihiro Noda,10.1016/j.jaccpubpol.2024.107228,https://doi.org/10.1016/j.jaccpubpol.2024.107228,Journal of Accounting and Public Policy,1,2024,Firms choose the quality of their CSR reporting to target socially responsible investors.
Impact of CSR on cost of debt and cost of capital: Australian evidence,"Md. Borhan Uddin Bhuiyan, Thi Hong Nhung Nguyen",10.1108/SRJ-08-2018-0208,https://doi.org/10.1108/SRJ-08-2018-0208,Social Responsibility Journal,75,2019,CSR disclosure reduces a firm's cost of equity and cost of debt.
An examination of corporate social responsibility and financial performance,"Juanita Oeyono, M. Samy, Roberta Bampton",10.1108/20412561111128555,https://doi.org/10.1108/20412561111128555,-,174,2011,The paper examines whether corporations in Indonesia are aware of and engage in corporate social responsibility (CSR) reporting.
Doing More on the Corporate Sustainability Front: A Longitudinal Analysis of CSR Reporting of Global Fashion Companies,"Peng Feng, C. Ngai",10.3390/su12062477,https://doi.org/10.3390/su12062477,-,31,2020,"Fashion companies are increasing their CSR reporting to meet stakeholder expectations, with a focus on labor, environmental, and human rights issues."
Private Standards in the Climate Regime: The Greenhouse Gas Protocol,Delphine Gibassier,10.1080/0969160X.2013.845037,https://doi.org/10.1080/0969160X.2013.845037,-,10,2013,"This paper is not directly relevant to the query ""what is CSR reporting"", as it focuses on the relationship between CSR disclosure and analyst forecast accuracy rather than defining CSR reporting."
"Corporate perspectives on CSR disclosure: audience, materiality, motivations","N. Gulko, Catriona Hyde",10.1057/s41310-022-00157-1,https://doi.org/10.1057/s41310-022-00157-1,International Journal of Disclosure and Governance,4,2022,"Corporate perspectives on CSR disclosure indicate shareholder and investor needs are the primary drivers, and mandatory regulation is seen as necessary for CSR reporting to be taken seriously."
The Coevolution of CSR Reporting and Operational Activities,"Kawika Pierson, Elliot Maltz",10.1002/csr.3189,https://doi.org/10.1002/csr.3189,Corporate Social Responsibility and Environmental Management,0,2025,"CSR reporting evolves from symbolic, unaudited to more substantive, audited reporting as firms expand their CSR activities."
Corporate social responsibility reporting research in the Chinese academia: a critical review,"Jenny Guan, C. Noronha",10.1108/17471111311307804,https://doi.org/10.1108/17471111311307804,-,31,2013,"CSR reporting research in China is still developing, with much of the literature being conceptual or descriptive rather than using proper research methodologies."
On Corporate Social Reporting,T. Oriordan,10.1068/a3201com,https://doi.org/10.1068/a3201com,-,171,2000,Corporate social reporting is evolving beyond just eco-efficiency to incorporate the social dimension into business.
Trends in Corporate Social Responsibility Reporting. The Case of Chinese Listed Companies,"Xiaojuan Wu, P. Hąbek",10.3390/su13158640,https://doi.org/10.3390/su13158640,Sustainability,22,2021,"CSR reporting by Chinese listed companies has increased over time, but the overall disclosure rate and quality remain low."
The impact of family vs non-family governance contingencies on CSR reporting in Bangladesh,"P. Biswas, Helen Roberts, R. Whiting",10.1108/MD-11-2017-1072,https://doi.org/10.1108/MD-11-2017-1072,Management Decision,35,2019,Corporate governance quality and family vs non-family ownership affect the level of CSR reporting in Bangladeshi companies.
Does external assurance on CSR reporting contribute to its higher quality? Empirical evidence from China,"O. Pasko, Li Zhang, Kostiantyn Bezverkhyi, D. Nikytenko, Lyudmyla Khromushyna",10.21511/imfi.18(4).2021.26,https://doi.org/10.21511/imfi.18(4).2021.26,Investment Management & Financial Innovations,12,2021,"External assurance on CSR reporting contributes to higher quality CSR reports, but high ownership concentration can obstruct this positive impact."
A Multimethod Approach to Assess and Measure Corporate Social Responsibility Disclosure and Practices in a Developing Economy,"Sadaf Ehsan, M. Nazir, M. Nurunnabi, Qasim Raza Khan, Samya Tahir, Ishfaq Ahmed",10.3390/SU10082955,https://doi.org/10.3390/SU10082955,Sustainability,87,2018,The paper develops a multimethod approach to assess and measure corporate social responsibility (CSR) disclosure and practices in a developing economy like Pakistan.
Women on Boards: Do They Affect Sustainability Reporting?,"Belen Fernandez‐Feijoo, Silvia Romero, Silvia Ruiz-Blanco",10.1002/CSR.1329,https://doi.org/10.1002/CSR.1329,-,324,2014,Companies with at least three women on their boards have higher levels of CSR reporting.
Corporate social responsibility: a strategic issue or a wasteful distraction?,C. Holme,10.1108/00197851011048528,https://doi.org/10.1108/00197851011048528,-,35,2010,The paper examines whether corporate social responsibility (CSR) reporting is a strategic business practice or just corporate window dressing.
